Title,Creator,AgeRecommendation,Active,Favorites,Visits,VoiceChat,Camera,Created,Updated,ServerSize,Genre,Likes,Dislikes,YearsSinceCreation,Ratio_Likes,Ratio_Dislikes
Eat Blobs to Grow MASSIVE,Bloob Studios,All Ages,998,441676,9300000.0,0,0,2024-09-05,2024-11-10,12,Simulation,22000.0,7022.0,0,0.7580456205637103,0.24195437943628972
Eat Me! (2 Player Teamwork Obby),Mirabilis Games,All Ages,201,998667,21400000.0,0,0,2023-08-17,2024-10-21,20,Obby & Platformer,6235.0,2536.0,1,0.710865351727283,0.28913464827271695
Eat Same Color Food Challenge,SAND4,All Ages,728,4380238,65300000.0,0,0,2023-08-17,2024-10-22,21,Party & Casual,13000.0,2636.0,1,0.83141468406242,0.16858531593757997
Elemental Powers Tycoon,Giggle Inc,Ages 9+,5985,1938191,676500000.0,0,0,2022-07-17,2024-10-05,12,Simulation,223000.0,27000.0,2,0.892,0.10799999999999998
Elimination Tower,Jambe Games,All Ages,532,712910,243400000.0,0,0,2019-08-10,2024-06-07,40,Party & Casual,133000.0,60000.0,5,0.689119170984456,0.31088082901554404
EMOTIONS POLICE FAMILY PRISON RUN ESCAPE! (Obby),Grandpa obbies,All Ages,1131,232778,28300000.0,0,0,2024-07-28,2024-11-09,14,Obby & Platformer,584.0,835.0,0,0.41155743481324875,0.5884425651867513
Encounters ⚔️ Fighting,Encounters by Voldex,Ages 9+,420,732147,380000000.0,0,0,2021-09-18,2024-08-12,45,Action,410000.0,70000.0,3,0.8541666666666666,0.14583333333333337
ENTRENCHED WW1 BETA,Edot,Ages 9+,1135,640810,90900000.0,0,0,2019-08-18,2024-09-17,40,Shooter,175000.0,16000.0,5,0.9162303664921466,0.08376963350785338
Epic Minigames ✨,TypicalType,All Ages,1739,6917124,2100000000.0,0,0,2015-07-29,2024-11-12,12,Party & Casual,1000000.0,219000.0,9,0.8203445447087777,0.1796554552912223
EPIC SCHOOL ESCAPE! (OBBY),Robowon1,All Ages,1054,5224,15200000.0,0,0,2024-06-07,2024-11-08,15,Simulation,985.0,887.0,0,0.5261752136752137,0.4738247863247863
Escape Angry Head,Shestvie Official [RU],All Ages,883,27170,62800000.0,0,0,2024-03-25,2024-11-13,6,Survival,3453.0,2518.0,0,0.5782950929492547,0.42170490705074526
Escape Baby Bobby Daycare! (FIRST PERSON OBBY),Decent Obbies,All Ages,1120,7623205,406800000.0,0,0,2023-01-08,2024-10-06,12,Obby & Platformer,22000.0,25000.0,1,0.46808510638297873,0.5319148936170213
Escape Mr Funny's ToyShop! (SCARY OBBY),PlatinumFalls,All Ages,1011,382492,388400000.0,0,0,2021-10-26,2023-08-20,10,Obby & Platformer,77000.0,51000.0,2,0.6015625,0.3984375
Escape Papa Pizza's Pizzeria! (SCARY OBBY),PlatinumFalls,All Ages,1854,421123,600400000.0,0,0,2021-06-11,2024-07-10,10,Obby & Platformer,79000.0,93000.0,3,0.45930232558139533,0.5406976744186047
🦷 Escape The Dentist! (OBBY!),Jrnmwv,All Ages,461,557317,4500000.0,0,0,2022-10-16,2024-09-09,14,Obby & Platformer,219.0,100.0,2,0.6865203761755486,0.3134796238244514
